"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978-10","Nova Scotia","","Units","300","thousands","3","v730394","4","4.8","","","","1"
"1978-10","New Brunswick","","Units","300","thousands","3","v730395","5","4.9","","","","1"
"1978-10","Quebec","","Units","300","thousands","3","v730396","6","37.5","","","","1"
"1978-10","Ontario","","Units","300","thousands","3","v730397","7","71.3","","","","1"
"1978-10","Manitoba","","Units","300","thousands","3","v730398","8","9.4","","","","1"
"1978-10","Saskatchewan","","Units","300","thousands","3","v730399","9","10.1","","","","1"
"1978-10","Alberta","","Units","300","thousands","3","v730400","10","46.4","","","","1"
"1978-10","British Columbia","","Units","300","thousands","3","v730392","11","24.8","","","","1"
"1978-11","Canada","","Units","300","thousands","3","v730390","1","234.9","","","","1"
"1978-11","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.9","","","","1"
"1978-11","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.0","","","","1"
"1978-11","Nova Scotia","","Units","300","thousands","3","v730394","4","6.6","","","","1"
"1978-11","New Brunswick","","Units","300","thousands","3","v730395","5","4.3","","","","1"
"1978-11","Quebec","","Units","300","thousands","3","v730396","6","39.5","","","","1"
"1978-11","Ontario","","Units","300","thousands","3","v730397","7","86.3","","","","1"
"1978-11","Manitoba","","Units","300","thousands","3","v730398","8","7.3","","","","1"
"1978-11","Saskatchewan","","Units","300","thousands","3","v730399","9","7.8","","","","1"
"1978-11","Alberta","","Units","300","thousands","3","v730400","10","52.6","","","","1"
"1978-11","British Columbia","","Units","300","thousands","3","v730392","11","26.6","","","","1"
"1978-12","Canada","","Units","300","thousands","3","v730390","1","193.0","","","","1"
"1978-12","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.7","","","","1"
"1978-12","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.8","","","","1"
"1978-12","Nova Scotia","","Units","300","thousands","3","v730394","4","5.6","","","","1"
"1978-12","New Brunswick","","Units","300","thousands","3","v730395","5","6.6","","","","1"
"1978-12","Quebec","","Units","300","thousands","3","v730396","6","34.9","","","","1"
"1978-12","Ontario","","Units","300","thousands","3","v730397","7","54.7","","","","1"
"1978-12","Manitoba","","Units","300","thousands","3","v730398","8","9.8","","","","1"
"1978-12","Saskatchewan","","Units","300","thousands","3","v730399","9","7.8","","","","1"
"1978-12","Alberta","","Units","300","thousands","3","v730400","10","40.3","","","","1"
"1978-12","British Columbia","","Units","300","thousands","3","v730392","11","29.8","","","","1"
"1979-01","Canada","","Units","300","thousands","3","v730390","1","218.6","","","","1"
"1979-01","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.5","","","","1"
"1979-01","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.7","","","","1"
"1979-01","Nova Scotia","","Units","300","thousands","3","v730394","4","6.0","","","","1"
"1979-01","New Brunswick","","Units","300","thousands","3","v730395","5","3.3","","","","1"
"1979-01","Quebec","","Units","300","thousands","3","v730396","6","45.5","","","","1"
"1979-01","Ontario","","Units","300","thousands","3","v730397","7","56.2","","","","1"
"1979-01","Manitoba","","Units","300","thousands","3","v730398","8","12.2","","","","1"
"1979-01","Saskatchewan","","Units","300","thousands","3","v730399","9","8.9","","","","1"
"1979-01","Alberta","","Units","300","thousands","3","v730400","10","57.0","","","","1"
"1979-01","British Columbia","","Units","300","thousands","3","v730392","11","26.3","","","","1"
"1979-02","Canada","","Units","300","thousands","3","v730390","1","182.6","","","","1"
"1979-02","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.6","","","","1"
"1979-02","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.8","","","","1"
"1979-02","Nova Scotia","","Units","300","thousands","3","v730394","4","6.9","","","","1"
"1979-02","New Brunswick","","Units","300","thousands","3","v730395","5","2.1","","","","1"
"1979-02","Quebec","","Units","300","thousands","3","v730396","6","39.1","","","","1"
"1979-02","Ontario","","Units","300","thousands","3","v730397","7","52.4","","","","1"
"1979-02","Manitoba","","Units","300","thousands","3","v730398","8","4.2","","","","1"
"1979-02","Saskatchewan","","Units","300","thousands","3","v730399","9","10.8","","","","1"
"1979-02","Alberta","","Units","300","thousands","3","v730400","10","46.4","","","","1"
"1979-02","British Columbia","","Units","300","thousands","3","v730392","11","17.3","","","","1"
"1979-03","Canada","","Units","300","thousands","3","v730390","1","184.1","","","","1"
"1979-03","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.7","","","","1"
"1979-03","Prince Edward Island","","Units","300","thousands","3","v730393","3","2.3","","","","1"
"1979-03","Nova Scotia","","Units","300","thousands","3","v730394","4","6.7","","","","1"
"1979-03","New Brunswick","","Units","300","thousands","3","v730395","5","1.6","","","","1"
"1979-03","Quebec","","Units","300","thousands","3","v730396","6","31.8","","","","1"
"1979-03","Ontario","","Units","300","thousands","3","v730397","7","51.2","","","","1"
"1979-03","Manitoba","","Units","300","thousands","3","v730398","8","4.2","","","","1"
"1979-03","Saskatchewan","","Units","300","thousands","3","v730399","9","16.6","","","","1"
"1979-03","Alberta","","Units","300","thousands","3","v730400","10","47.2","","","","1"
"1979-03","British Columbia","","Units","300","thousands","3","v730392","11","20.8","","","","1"
"1979-04","Canada","","Units","300","thousands","3","v730390","1","187.7","","","","1"
"1979-04","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.1","","","","1"
"1979-04","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.5","","","","1"
"1979-04","Nova Scotia","","Units","300","thousands","3","v730394","4","5.9","","","","1"
"1979-04","New Brunswick","","Units","300","thousands","3","v730395","5","5.7","","","","1"
